status,object_path,filename,public_url,book_id,book_title,book_author,old_cover_image_url
updated,Penny and Her Marble.png,Penny and Her Marble.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Penny%20and%20Her%20Marble.png,beb54631-f645-49b8-8a38-e69829f29fea,Penny and Her Marble,Kevin Henkes,Penny and Her Marble.png
updated,People Who Eat Darkness.png,People Who Eat Darkness.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/People%20Who%20Eat%20Darkness.png,7ceca774-43b9-48e3-ac55-9fcb76923ae6,People Who Eat Darkness,Richard Lloyd Parry,People Who Eat Darkness.png
updated,Perfect Puppy in 7 Days.png,Perfect Puppy in 7 Days.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Perfect%20Puppy%20in%207%20Days.png,2507ad64-a740-4bbb-8b82-70a47ae3b198,Perfect Puppy in 7 Days,Dr. Sophia Yin,Perfect Puppy in 7 Days.png
updated,Perfect Puppy in 7 Days.png,Perfect Puppy in 7 Days.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Perfect%20Puppy%20in%207%20Days.png,33ec53fc-d3d3-46cb-be48-f6fcec6a88a4,Perfect Puppy in 7 Days,Sophia Yin,Perfect Puppy in 7 Days.png
updated,Perfume.png,Perfume.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Perfume.png,c900acab-cff6-4a8b-9cc6-504fc5aa4924,Perfume,Patrick Suskind,Perfume.png
updated,Perfume.png,Perfume.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Perfume.png,53ca33ea-aba1-494f-a5aa-6d710cdc7631,Perfume,Patrick Sskind,Perfume.png
updated,Personal Trainer Pocketbook.png,Personal Trainer Pocketbook.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Personal%20Trainer%20Pocketbook.png,c02f96ba-9184-4a6c-a0bf-8d619dd140d3,Personal Trainer Pocketbook,Jonathan Goodman,Personal Trainer Pocketbook.png
updated,Personality Types.png,Personality Types.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Personality%20Types.png,3851db63-e2e6-4947-b3cb-3064f408d2cf,Personality Types,Don Richard Riso,Personality Types.png
updated,Pete the Cat Goes Camping.png,Pete the Cat Goes Camping.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Pete%20the%20Cat%20Goes%20Camping.png,c0a8ff0f-6899-4e70-a533-b2237bcc8b76,Pete the Cat Goes Camping,James Dean,Pete the Cat Goes Camping.png
updated,Pete the Cat and His Four Groovy Buttons.png,Pete the Cat and His Four Groovy Buttons.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Pete%20the%20Cat%20and%20His%20Four%20Groovy%20Buttons.png,f9d75bcf-32a5-4fac-acbe-d8553db9702a,Pete the Cat and His Four Groovy Buttons,James Dean,Pete the Cat and His Four Groovy Buttons.png
updated,Petra's Ghost.png,Petra's Ghost.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Petra%27s%20Ghost.png,01566e59-e58c-42e1-ab10-32bae1cbe5ab,Petra's Ghost,C. S. O'Cinneide,Petra's Ghost.png
